experiment,scheme,N,q,selectivity,metric,unit,mean,median,p50,p95,sd_between_runs,ci95_low,ci95_high,ci95_half,n_runs,n_measurements,param1,param2
E1,SliceBF-NoBitSlice,300000,3,all,trapdoor_bytes,bytes,616.0,616.0,616.0,616.0,0.0,616.0,616.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,trapdoor_bytes,bytes,616.0,616.0,616.0,616.0,0.0,616.0,616.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,trapdoor_bytes,bytes,616.0,616.0,616.0,616.0,0.0,616.0,616.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,aggregate_bytes,bytes,150336.0,150336.0,150336.0,150336.0,0.0,150336.0,150336.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,aggregate_bytes,bytes,1804032.0,1804032.0,1804032.0,1804032.0,0.0,1804032.0,1804032.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,aggregate_bytes,bytes,150336.0,150336.0,150336.0,150336.0,0.0,150336.0,150336.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,aggregate_bytes,bytes,150336.0,150336.0,150336.0,150336.0,0.0,150336.0,150336.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,delta_bytes,bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,delta_bytes,bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,delta_bytes,bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,delta_bytes,bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,bucket_bytes,bytes,39115990.239999995,75136.0,75136.0,157793120.0,34555.49252735336,39089690.88,39142289.6,26299.359999999404,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,bucket_bytes,bytes,39125756.32,75136.0,75136.0,157390390.39999998,17483.375139599644,39111315.36,39137421.28,13052.960000000894,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,bucket_bytes,bytes,39098510.4,75136.0,75136.0,157488496.0,57242.9265750803,39054260.95999999,39142256.0,43997.52000000328,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,bucket_bytes,bytes,171947904.0,171947904.0,171947904.0,171947904.0,0.0,171947904.0,171947904.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,candidate_count,count,3664.775,2.0,2.0,13380.0999999999,0.0,3664.775,3664.775,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,common,candidate_count,count,10463.857142857143,6691.5,6691.5,26769.0,0.0,10463.857142857143,10463.857142857143,0.0,5,140,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,medium,candidate_count,count,1.8846153846153846,1.0,1.0,7.0,0.0,1.8846153846153846,1.8846153846153846,0.0,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,rare,candidate_count,count,5.576923076923077,1.0,1.0,31.0,0.0,5.576923076923077,5.576923076923077,0.0,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,candidate_count,count,3664.775,2.0,2.0,13380.0999999999,0.0,3664.775,3664.775,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,common,candidate_count,count,10463.857142857143,6691.5,6691.5,26769.0,0.0,10463.857142857143,10463.857142857143,0.0,5,140,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,medium,candidate_count,count,1.8846153846153846,1.0,1.0,7.0,0.0,1.8846153846153846,1.8846153846153846,0.0,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,rare,candidate_count,count,5.576923076923077,1.0,1.0,31.0,0.0,5.576923076923077,5.576923076923077,0.0,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,candidate_count,count,3664.775,2.0,2.0,13380.0999999999,0.0,3664.775,3664.775,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,common,candidate_count,count,10463.857142857143,6691.5,6691.5,26769.0,0.0,10463.857142857143,10463.857142857143,0.0,5,140,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,medium,candidate_count,count,1.8846153846153846,1.0,1.0,7.0,0.0,1.8846153846153846,1.8846153846153846,0.0,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,rare,candidate_count,count,5.576923076923077,1.0,1.0,31.0,0.0,5.576923076923077,5.576923076923077,0.0,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,candidate_count,count,3664.775,2.0,2.0,13380.0999999999,0.0,3664.775,3664.775,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,common,candidate_count,count,10463.857142857143,6691.5,6691.5,26769.0,0.0,10463.857142857143,10463.857142857143,0.0,5,140,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,medium,candidate_count,count,1.8846153846153846,1.0,1.0,7.0,0.0,1.8846153846153846,1.8846153846153846,0.0,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,rare,candidate_count,count,5.576923076923077,1.0,1.0,31.0,0.0,5.576923076923077,5.576923076923077,0.0,5,130,network_transport=excluded,ci=bootstrap_over_process_means
